birdname,TaxonomyId,EnglishName,ScientificName,Count
Common kestrel,31855,Common Kestrel,Falco tinnunculus,4418
American kestrel,31876,American Kestrel,Falco sparverius,56
Red-footed falcon,31973,Red-footed Falcon,Falco vespertinus,1040
Amur falcon,31974,Amur Falcon,Falco amurensis,66
Eurasian hobby,31920,Eurasian Hobby,Falco subbuteo,977
Eleonora's falcon,31975,Eleonora's Falcon,Falco eleonorae,80
Gyr falcon,31983,Gyr Falcon,Falco rusticolus,111
Peregrine falcon,31944,Peregrine Falcon,Falco peregrinus,1532
Water rail,24232,Water Rail,Rallus aquaticus,1883
Spotted crake,24354,Spotted Crake,Porzana porzana,475
Little crake,24353,Little Crake,Porzana parva,118
Baillon's crake,24326,Baillon's Crake,Porzana pusilla,72
Common moorhen,24425,Common Moorhen,Gallinula chloropus,1089
Western swamphen,24415,Western Swamphen,Porphyrio porphyrio,215
Allen's gallinule,24421,Allen's Gallinule,Porphyrio alleni,18
Eurasian coot,24458,Eurasian Coot,Fulica atra,1324
American coot,24463,American Coot,Fulica americana,124
Common crane,24517,Common Crane,Grus grus,862
Sandhill crane,24499,Sandhill Crane,Antigone canadensis,109
Little bustard,24003,Little Bustard,Tetrax tetrax,107
Macqueen's bustard,23957,Macqueen's Bustard,Chlamydotis macqueenii,2
Great bustard,23939,Great Bustard,Otis tarda,120
Eurasian oystercatcher,24638,Eurasian Oystercatcher,Haematopus ostralegus,1886
Black-winged stilt,24666,Black-winged Stilt,Himantopus himantopus,1098
Eurasian stone-curlew,24596,Eurasian Stone-curlew,Burhinus oedicnemus,277
Collared pratincole,25100,Collared Pratincole,Glareola pratincola,361
Oriental pratincole,25106,Oriental Pratincole,Glareola maldivarum,82
Black-winged pratincole,25107,Black-winged Pratincole,Glareola nordmanni,82
Little ringed plover,24745,Little Ringed Plover,Charadrius dubius,699
Ringed plover,24741,Ringed Plover,Charadrius hiaticula,1375
Ringed plover,24745,Little Ringed Plover,Charadrius dubius,699
Semipalmated plover,24793,Semipalmated Plover,Charadrius semipalmatus,69
Killdeer,24754,Killdeer,Charadrius vociferus,117
Kentish plover,24769,Kentish Plover,Charadrius alexandrinus,350
Lesser sand plover,24783,Lesser Sand Plover,Charadrius mongolus,85
Greater sand plover,24789,Greater Sand Plover,Charadrius leschenaultii,111
Caspian plover,24805,Caspian Plover,Charadrius asiaticus,43
Eurasian dotterel,24807,Eurasian Dotterel,Charadrius morinellus,1159
American golden plover,24736,American Golden Plover,Pluvialis dominica,581
Pacific golden plover,24735,Pacific Golden Plover,Pluvialis fulva,198
Pacific golden plover,196261,American/Pacific Golden Plover,Pluvialis dominica/fulva,0
European golden plover,24734,European Golden Plover,Pluvialis apricaria,825
Grey plover,24730,Grey Plover,Pluvialis squatarola,597
